,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2020-09-03,9,2020-09-03,18.464285714285715,36.30714285714286,68.35714285714286,1011.7071428571428,220.5,6.064285714285715,6.142857142857143,135.71428571428572,137.07142857142858
2020-09-03,9,2020-09-03,18.464285714285715,36.30714285714286,68.35714285714286,1011.7071428571428,220.5,6.064285714285715,6.142857142857143,135.71428571428572,137.07142857142858
2020-09-04,9,2020-09-04,20.0,31.0,68.0,1014.3785714285714,260.07142857142856,4.264285714285714,53.214285714285715,164.21428571428572,188.0
2020-09-04,9,2020-09-04,20.0,31.0,68.0,1014.3785714285714,260.07142857142856,4.264285714285714,53.214285714285715,164.21428571428572,188.0
2020-09-04,9,2020-09-04,20.0,31.0,68.0,1014.3785714285714,260.07142857142856,4.264285714285714,53.214285714285715,164.21428571428572,188.0
2020-09-04,9,2020-09-04,20.0,31.0,68.0,1014.3785714285714,260.07142857142856,4.264285714285714,53.214285714285715,164.21428571428572,188.0
2020-09-04,9,2020-09-04,20.0,31.0,68.0,1014.3785714285714,260.07142857142856,4.264285714285714,53.214285714285715,164.21428571428572,188.0
2020-09-04,9,2020-09-04,20.0,31.0,68.0,1014.3785714285714,260.07142857142856,4.264285714285714,53.214285714285715,164.21428571428572,188.0
2020-09-04,9,2020-09-04,20.0,31.0,68.0,1014.3785714285714,260.07142857142856,4.264285714285714,53.214285714285715,164.21428571428572,188.0
2020-09-04,9,2020-09-04,20.0,31.0,68.0,1014.3785714285714,260.07142857142856,4.264285714285714,53.214285714285715,164.21428571428572,188.0
2020-09-04,9,2020-09-04,20.0,31.0,68.0,1014.3785714285714,260.07142857142856,4.264285714285714,53.214285714285715,164.21428571428572,188.0
2020-09-04,9,2020-09-04,20.0,31.0,68.0,1014.3785714285714,260.07142857142856,4.264285714285714,53.214285714285715,164.21428571428572,188.0
2020-09-04,9,2020-09-04,20.0,31.0,68.0,1014.3785714285714,260.07142857142856,4.264285714285714,53.214285714285715,164.21428571428572,188.0
